sample,reference
LY-CoV1404-0_lib1,ref21-24
BD55-3152-0_NNSlib2,ref13-13
BD55-3152-1_NNSmerged,ref37-40
BD55-5300-0_NNSmerged,ref37-40
BD55-3372-0_NNSlib2,ref13-13
BD55-3372-1_NNSmerged,ref37-40
BD30-614-0_lib2,ref29-32
BD30-614-1_libmerged,ref41-44
BD55-114-0_libmerged,ref41-44
COVOX-222-0_lib1,ref8-8
COVOX-222-1_lib2,ref9-9
COV2-2072-0_lib1,ref21-24
COV2-2072-1_libmerged,ref41-44
BD30-618-0_lib2,ref29-32
BD55-5386-0_NNSmerged,ref37-40
BD55-5386-1_libmerged,ref41-44
BD55-302-0_NNSmerged,ref37-40
BD55-206-0_lib1,ref3-3
BD55-206-1_lib2,ref4-4
BD55-284-0_lib2,ref33-36
BD55-284-1_libmerged,ref41-44
BD55-5293-0_NNSmerged,ref37-40
BD55-1706-0_lib2,ref14-16
BD55-83-0_NNSmerged,ref37-40
BD55-83-1_libmerged,ref41-44
BD55-3500-0_NNSlib2,ref13-13
BD55-387-0_lib2,ref33-36
BD55-387-1_NNSmerged,ref37-40
COV2-2381-0_libmerged,ref41-44
COV2-2381-1_libmerged,ref41-44
BD55-166-0_lib2,ref33-36
BD55-166-1_NNSmerged,ref37-40
BD55-293-0_lib2,ref29-32
S2E12-0_libmerged,ref41-44
BD30-604-0_lib1,ref8-8
BD55-277-0_NNSmerged,ref37-40
BD55-277-1_libmerged,ref41-44
S309-0_NNSlib1,ref10-10
S309-1_NNSlib2,ref11-11
BD55-5319-0_NNSmerged,ref37-40
C576-0_NNSmerged,ref37-40
DH1044-0_lib1,ref21-24
DH1044-1_libmerged,ref41-44
C581-0_libmerged,ref41-44
C581-1_libmerged,ref41-44
BD30-369-0_lib2,ref29-32
BG4-25-0_libmerged,ref41-44
BG4-25-1_libmerged,ref41-44
COVOX-253H55L-0_NNSlib1,ref10-10
COVOX-253H55L-1_NNSlib2,ref11-11
BD55-1104-0_NNSmerged,ref37-40
BD30-467-0_libmerged,ref41-44
BD30-467-1_libmerged,ref41-44
BD55-5339-0_NNSmerged,ref37-40
BD55-5339-1_libmerged,ref41-44
C556-0_lib1,ref21-24
C556-1_libmerged,ref41-44
BD55-1237-0_NNSmerged,ref37-40
DH1193-0_lib1,ref21-24
DH1193-1_libmerged,ref41-44
BD55-185-0_NNSmerged,ref37-40
BD55-4325-0_lib2,ref14-16
BD55-4325-1_NNSlib2,ref17-20
BD30-566-0_libmerged,ref41-44
COVA1-16-0_NNSlib2,ref11-11
COVA1-16-1_NNSmerged,ref37-40
COV2-2098-0_lib1,ref21-24
AZD8895-0_NNSlib2,ref11-11
AZD8895-1_NNSlib2,ref11-11
COV2-2389-0_libmerged,ref41-44
COV2-2389-1_libmerged,ref41-44
BD55-171-0_NNSmerged,ref37-40
BD55-5259-0_NNSmerged,ref37-40
BD55-3525-0_lib2,ref14-16
BD55-3525-1_NNSlib2,ref17-20
BD30-494-0_lib2,ref29-32
COV2-2828-0_lib1,ref21-24
DH1047-0_NNSlib1,ref10-10
DH1047-1_NNSlib2,ref11-11
AZD1061-0_lib2,ref33-36
AZD1061-1_lib2,ref33-36
BD55-1294-0_NNSlib2,ref17-20
BD55-1294-1_NNSmerged,ref37-40
BD55-1831-0_NNSmerged,ref37-40
BD55-1831-1_libmerged,ref41-44
BD55-283-0_NNSmerged,ref37-40
